label,text
1,Reissued after periodic review without changes. Exercise normal precautions in Estonia. Read the country information page for additional information on travel to Estonia. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Estonia. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist .
1,"Reissued after periodic review with minor edits. Exercise normal precautions in the British Virgin Islands. Read the country information page for additional information on travel to the British Virgin Islands. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for the Eastern Caribbean, which includes the British Virgin Islands. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel."
2,"Updated with additional water safety information. Exercise increased caution in The Bahamas due to crime . Country Summary : The majority of crime occurs on New Providence (Nassau) and Grand Bahama (Freeport) islands. In Nassau, practice increased vigilance in the “Over the Hill” area (south of Shirley Street) where gang-on-gang violence has resulted in a high homicide rate primarily affecting the local population. Violent crime, such as burglaries, armed robberies, and sexual assaults, occur in both tourist and non-tourist areas. Be vigilant when staying at short-term vacation rental properties where private security companies do not have a presence. Activities involving commercial recreational watercraft, including water tours, are not consistently regulated. Watercraft may be poorly maintained, and some operators may not have safety certifications. Always review and heed local weather and marine alerts before engaging in water-based activities. Commercial watercraft operators have discretion to operate their vessels regardless of weather forecasts; injuries and fatalities have occurred. Due to these safety concerns, U.S. government personnel are not permitted to use independently operated jet-ski rentals on New Providence and Paradise Islands. Never swim alone, regardless of your age or level of swimming skills. Keep within your fitness and swimming capabilities. Be mindful of sharks when swimming and engaging in water activities, as there have been recent fatal and non-fatal incidents involving sharks. Be aware of weather and water conditions and heed local warnings. Read the country information page for additional information on travel to The Bahamas. Do not answer your door at your hotel/residence unless you know who it is. Do not physically resist any robbery attempt. Follow the Department of State on Facebook , Twitter , and Instagram . Review the Country Security Report for The Bahamas. Prepare a contingency plan for emergency and medical situations. Visit the CDC page for the latest Travel Health Information related to your travel."
1,Reissued after periodic review without changes. Exercise normal precautions in Montenegro. Read the country information page for additional information on travel to Montenegro. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Montenegro. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist .
1,Reissued with updates to crime information. Exercise normal precautions in Argentina. Some areas have increased risk. Read the entire Travel Advisory. Exercise increased caution in: City of Rosario (Santa Fe province) due to crime . Read the country information page for additional information on travel to Argentina. Review the Country Security Report for Argentina. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel. City of Rosario – Level 2: Exercise Increased Caution Criminal and narcotics trafficking elements are active in Rosario (Santa Fe province) resulting in increased crime and violence. U.S. Embassy personnel are required to give advance notice before traveling to Rosario.
2,"Reissued with obsolete COVID-19 page links removed. Exercise increased caution in Belgium due to terrorism. Country Summary : Terrorist groups continue plotting possible attacks in Belgium. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, local government facilities, hotels, clubs, restaurants, places of worship, parks, major sporting, music, and cultural events, educational institutions, airports, and other public areas. Read the country information page for additional information on travel to Belgium. Be aware of your surroundings when traveling to tourist locations and crowded public venues. Monitor local media for breaking events and be prepared to adjust your plans. Review the Country Security Report for Belgium. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist ."
2,"Reissued after periodic review with minor edits. Exercise increased caution in Jordan due to terrorism . Some areas have increased risk. Do not travel to: Within 3.5 km of the Jordan-Syria border and east of the town of Ruwayshid in the direction of the Iraq border due to terrorism and armed conflict. Designated Syrian refugee camps in Jordan due to Government of Jordan restrictions on entry into these camps . Zarqa, Rusayfah, and the Baqa’a neighborhood of Ayn Basha due to terrorism and crime. Reconsider travel to: Ma’an City and some areas of Ma’an Governorate due to terrorism and crime . Country Summary : Terrorist groups continue to plot possible attacks in Jordan. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, and local government facilities. While Jordan itself is relatively stable, due to high tensions in the region, the security environment remains complex and can change quickly. Read the country information page for additional information on travel to Jordan. Monitor local media for breaking events and adjust your plans based on new information. Avoid demonstrations and protests. Be aware of your surroundings. Stay alert in locations frequented by Westerners. Obtain comprehensive medical insurance that includes medical evacuation. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Jordan. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. The Border with Syria and Iraq – Level 4: Do Not Travel Do not travel to Jordan's border with Syria and Iraq given the continued threat of cross-border violence, including the risk of terrorist attacks. All U.S. government personnel must adhere to U.S. Embassy travel restrictions for all official travel within 3.5 km of the Jordan-Syria border, and all travel must occur during daylight hours only. U.S. government personnel must adhere to U.S. Embassy travel restrictions for official travel east of the town of Ruwayshid towards the Iraq border, and all travel must occur during daylight hours only. Personal travel by U.S. government employees to these border areas is not authorized. Visit our website for Travel to High-Risk Areas . Refugee Camps – Level 4: Do Not Travel Do not travel to Syrian refugee camps in Jordan due to Government of Jordan restrictions on entry into these camps. All U.S. government personnel on official travel to the four designated Syrian refugee camps listed below (formerly all refugee camps in Jordan) must adhere to U.S. Embassy travel restrictions. Azraq Syrian Refugee Camp, Azraq, Zarqa Za’atari Syrian Refugee Camp, Al Zatryah, Mafraq King Abdullah Park Syrian Refugee Camp, Ramtha, Irbid Emirati Jordanian Syrian Refugee Camp (Murijep al Fhoud), Al Jadedah, Zarqa Personal travel by U.S. government personnel to these refugee camps is not authorized. Visit our website for Travel to High-Risk Areas . Zarqa, Rusayfah, and the Baqa’a Neighborhood of Ayn Basha – Level 4: Do Not Travel Do not travel to Zarqa, Rusayfah and the Baqa’a neighborhood of Ayn Basha due to terrorism and crime. All U.S. government personnel on official travel to Zarqa, Rusayfah and the Baqa’a neighborhood of Ayn Basha must adhere to U.S. Embassy travel restrictions, and all travel must occur during daylight hours only. U.S. government personnel may transit through these cities on major highways during daylight hours only. Personal travel by U.S. government personnel to these cities is not authorized. Visit our website for Travel to High-Risk Areas . Ma’an City and some areas of Ma’an Governorate – Level 3: Reconsider Travel Reconsider travel to Ma’an city, all areas of Ma’an Governorate east of Highway 15 (“The Desert Highway”), and all areas of Ma’an Governorate within two kilometers to the west of Highway 15 due to terrorism and crime. All U.S. government personnel on official travel to these areas must adhere to U.S. Embassy travel restrictions. When traveling at night, U.S. government personnel on official travel must use major highways. Personal travel by U.S. government personnel to these areas is permitted during daylight hours only, with the exception of direct transit through these areas, which may also occur during hours of darkness. Visit our website for Travel to High-Risk Areas ."
4,"Reissued with updates to the security situation and post departure status. Do not travel to Sudan due to armed conflict, civil unrest, crime, terrorism, and kidnapping. On April 22, 2023, the U.S. Embassy in Khartoum suspended its operations, and the Department of State ordered the departure of U.S. direct hire employees and eligible family members from Embassy Khartoum due to the continued threat of armed conflict in Sudan. The U.S. government cannot provide routine or emergency consular services to U.S. citizens in Sudan, due to the current security situation. Armed conflict is ongoing throughout Sudan and includes heavy fighting between various political and security groups. The situation is violent, volatile, and extremely unpredictable, particularly in the capital city Khartoum. Electrical and communication disruptions, including internet and cell phone service, can occur at any time. Khartoum International Airport and Sudan’s border with Chad are currently closed. Country Summary : Armed conflict, crime, such as kidnapping, armed robbery, home invasion, and carjacking occur. Members of known terrorist groups and individuals sympathetic to these groups in Sudan could attack with little or no warning, targeting foreign and local government facilities, and areas frequented by Westerners. Violence continues along the border between Chad and Sudan and areas that border South Sudan (including the disputed Abyei area). Armed opposition groups are active in Central Darfur state and parts of Blue Nile and South Kordofan states. Intercommunal clashes can occur throughout the country and can result in the declaration of localized States of Emergency. Read the country information page for additional information about travel to Sudan. Exercise extreme care in all parts of the country, including Khartoum. Visit our website for Travel to High-Risk Areas . Have a personal emergency action plan that does not rely on U.S. government assistance. Monitor local media for breaking events and be prepared to adjust your plans. Be aware of your surroundings. Stay alert in areas frequented by Westerners. Review your personal security plan and visit our page on travel to high-risk areas. Draft a will and designate appropriate insurance beneficiaries and/or power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, etc. Share important documents, log-in information, and points of contact with loved ones so that they can manage your affairs if you are unable to return as planned to the United States. Find a suggested list of such documents here . Develop a communication plan with family and/or your employer or host organization so that they can monitor your safety and location as you travel through Sudan. This plan should specify who you would contact first, and how they should share the information. Avoid demonstrations and public gatherings. Even events intended to be peaceful can become violent. Review the Country Security Report for Sudan. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist ."
2,"On November 21, 2024, the Department ended the voluntary departure of non-emergency U.S. direct hire employees and their eligible family members due to the restoration of power to Havana and other clean up and restoration efforts from Hurricane Rafael. Exercise increased caution in Cuba due to crime . Country Summary: Petty crime, such as pick pocketing, purse snatchings, and car break-ins, is a threat for tourists in Cuba. Also, violent crime, including armed robbery and homicide, sometimes occurs in Cuba. Travel outside of the Havana area for U.S. Embassy employees requires a special notification process which may affect the Embassy’s ability to provide emergency assistance to U.S. citizens in Cuba. Read the country information page for additional information on travel to Cuba. Be aware of your surroundings. Do not physically resist any robbery attempt. Do not display signs of wealth, such as wearing expensive watches or jewelry. U.S. citizens should always exercise caution when traveling abroad: Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Cuba. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist ."
1,Reissued after periodic review with minor edits. Exercise normal precautions in Slovakia. Read the country information page for additional information on travel to Slovakia. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Slovakia. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist .
3,"Reissued due to periodic review without changes. Reconsider travel to Guinea-Bissau due to civil unrest. Exercise increased caution due to crime . Country Summary: The country has experienced intermittent political instability for decades. Demonstrations occur frequently, and some have escalated into violence. Crime is prevalent in Guinea-Bissau. Aggressive vendors, panhandlers, and criminals target foreigners at the Bissau airport. Other crowded areas, especially Bandim Market in the center of the capital are also targeted. Local police lack the resources to respond quickly to serious criminal incidents. The U.S. government has limited ability to provide emergency services to U.S. citizens because there is no U.S. Embassy in Guinea-Bissau. Read the country information page for more information on travel to Guinea-Bissau. Visit our website for Travel to High-Risk Areas . Avoid demonstrations and crowds. Be aware of your surroundings. Do not display signs of wealth, such as wearing expensive watches or jewelry. Only travel during daylight. Watch local media for breaking events, and adjust your plans based on new information. Make contingency plans to leave the country. Follow the Department of State on Facebook and X . Review the Country Security Report for Guinea-Bissau. Visit the CDC page for the latest Travel Health Information related to your travel."
1,"Reissued after periodic review with minor edits Exercise normal precautions in Cyprus. Some areas have increased risk. Read the entire Travel Advisory. Country Summary: Do not attempt to enter the United Nations buffer zone at any place other than a designated crossing point. Police and UN peacekeeping forces strictly enforce this restriction. Read the country information page for additional information on travel to Cyprus. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Cyprus. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Turkish Cypriot-Administered Area – Exercise increased caution The U.S. Embassy in Nicosia has limited ability to assist U.S. citizens in this area. Human rights reports show that central prison and police detention facilities in this area do not meet international standards. Since 1974, the southern part of Cyprus has been under the control of the internationally recognized Government of the Republic of Cyprus. The northern part of Cyprus, administered by Turkish Cypriots, proclaimed itself the “Turkish Republic of Northern Cyprus” (“TRNC”) in 1983. The United States does not recognize the “TRNC,” nor does any country other than Türkiye. A buffer zone, patrolled by the UN Peacekeeping Force in Cyprus, separates the two sides. For U.S. citizen travelers: Enter and exit the island of Cyprus ONLY at Larnaca and Paphos airports or at the seaports of Limassol, Larnaca, and Paphos. The Republic of Cyprus does not consider entry via Ercan Airport or by a seaport in the north to be a legal entrance or departure to Cyprus. U.S. citizens who depart the island from Ercan could have difficulty returning to the Republic of Cyprus in the future. You cannot receive a residency permit from the Republic of Cyprus to reside in the area administered by Turkish Cypriots. The Republic of Cyprus does not recognize residence permits issued by Turkish Cypriots. If you arrive to the island at a north seaport or Ercan airport or stay in the Turkish Cypriot-administered area for over 90 days, you might be subsequently denied entry into the Republic of Cyprus. The U.S. Embassy has limited ability to help U.S. citizens in need of assistance in the area administered by Turkish Cypriots as the government of the Republic of Cyprus does not control the area. Travelers should factor this consideration into their activities in this area."
2,"Reissued with obsolete COVID-19 page links removed. Exercise increased caution in Eritrea due to travel restrictions, limited consular assistance, landmines, and wrongful detentions. Country Summary: The U.S. government has limited ability to provide emergency services to U.S. citizens in Eritrea, as U.S. government employees must obtain special authorization to travel outside of Asmara. U.S. citizens visiting or residing in Eritrea, including dual U.S.-Eritrean nationals, have been arrested and detained without charge or on false charges. The Department has determined that the risk of wrongful detention of U.S. nationals by the Eritrean government exists. Eritrean law enforcement officials routinely block access by U.S. government officials to U.S. citizens in detention. The U.S. Embassy therefore may not receive notification of your arrest or be allowed access to you if you are detained or arrested. There are landmines in many remote areas in Eritrea, particularly in Nakfa, AdiKeih, Arezza, the 25 mile-wide region (40 km) between the Setit and Mereb Rivers, and in areas north and west of Keren, areas near Massawa, Ghinda, Agordat, Barentu, Dekemhare, and south of Tessenae. Read the country information page for additional information on travel to Eritrea. Use caution when walking and hiking in remote areas or off main roads. Always carry a copy of your U.S. passport and visa (if applicable). Keep original documents in a secure location. Review the Country Security Report for Eritrea. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel."
2,"Reissued with obsolete COVID-19 page links removed. Exercise increased caution in Morocco due to terrorism . Country Summary : Terrorist groups continue plotting possible attacks in Morocco. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, and local government facilities. Read the country information page for additional information on travel to Morocco. Stay alert in locations frequented by tourists. Avoid demonstrations and crowds. Follow the Department of State on Twitter and Facebook . Review the Country Security Report for Morocco. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist ."
2,"Reissued after periodic review with minor edits Exercise increased caution in Germany due to terrorism . Country Summary: Terrorist groups keep planning attacks in Germany. Terrorists may attack with little or no warning. They target tourist locations and transportation hubs. They also target markets/shopping malls and local government facilities. They target hotels, clubs, and restaurants. They also attack places of worship, parks, and major sporting and cultural events. They target schools, airports, and other public areas. Read the country information page for additional information on travel to Germany. Be aware of your surroundings when traveling to tourist locations and crowded public venues. Follow the instructions of local authorities. Monitor local media for breaking events and adjust your plans based on new information. Review the Country Security Report for Germany. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist ."
3,"Updated to reflect additional information on crime and health care. Reconsider travel to Jamaica due to crime . Exercise increased caution regarding medical services. Some areas have increased risk. Read the entire Travel Advisory. Country Summary: Violent crime occurs throughout Jamaica. Tourist areas generally see lower rates of violent crime than other parts of the country. The homicide rate reported by the Government of Jamaica is among the highest in the Western Hemisphere. Armed robberies and sexual assaults are common. The U.S. Embassy routinely receives reports of sexual assaults, including from U.S. citizen tourists at resorts. U.S. citizens report slow or unsatisfactory response to serious criminal incidents. When arrests are made, cases are infrequently prosecuted to a final verdict and sentence. U.S. citizens should not expect the same level of health care available in Jamaica as is available in the United States. This includes generally lower levels of emergency service response times or routine care for illness or injury. Private hospitals require payment up front before admitting patients and may not have the ability to provide specialized care. Ambulance services are not always staffed with EMTs or always readily available, especially in rural areas. U.S. citizens should bring extra prescription medication as common medications such as insulin can be difficult to obtain. We strongly encourage you to obtain traveler’s insurance, including medical evacuation insurance, before traveling. The Department of State does not pay medical bills. U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Air ambulance service to the United States can range from $30,000-50,000. Read the country information page for additional information on travel to Jamaica. Do not attempt to bring firearms or ammunition. This includes stray rounds, shells, or empty casings. The penalties for carrying firearms and/or ammunition, even inadvertently, are severe, and can include lengthy prison sentences. Avoid walking or driving at night. Avoid public buses. Avoid secluded places or situations. Do not physically resist any robbery attempt. Be aware of your surroundings and keep a low profile. Follow the Department of State on Facebook and X/Twitter . Review the State Department’s Country Specific Information for Jamaica. Make a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel. U.S. embassy personnel are prohibited from traveling to certain areas of Jamaica due to crime. Additionally, U.S. embassy personnel are prohibited from using public buses and from driving outside of prescribed areas of Kingston at night. The off-limits zones for U.S. embassy personnel within each parish are listed below . Off-limits locations for U.S. embassy personnel throughout Jamaica – Level 4: Do Not Travel St. Ann’s Parish - Steer Town and the Buckfield neighborhood near Ocho Rios St. Catherine’s Parish - Spanish Town, Central Village, areas within Portmore, including: Naggo Head, New Land, Old Braeton, Portmore Lane, Gregory Park, and Waterford Clarendon Parish - all of Clarendon Parish, except passing through Clarendon Parish using the T1 and A2 highways. St. Elizabeth’s Parish - Vineyard District Community, between the communities of Salt Spring and Burnt Savanna, St. Elizabeth Hanover Parish - Logwood and Orange Bay St. James Parish/Montego Bay - Inland side of the A1 highway and The Queen’s Drive from San San to Harmony Beach Park Kingston and St. Andrew Parish - Cassava Piece, Duhaney Park, Grants Pen, Standpipe, Swallowfield, Elleston Flats, August Town, and downtown Kingston, defined as between Mountain View Avenue and Hagley Park Road, and south of Half Way Tree and Old Hope Roads. Downtown Kingston includes Arnett Gardens, Cockburn Gardens, Denham Town, Olympic Gardens, Seaview Gardens, Trench Town, and Tivoli Gardens. Manchester Parish - Green Vale, Gray Ground, Red Ground, and Vineyard neighborhoods of Mandeville St. Thomas Parish - Black Lane neighborhood in Seaforth, Grands Penn, Church Corner neighborhood near Yallahs, Town of Yallahs, except when driving through on the main highway. Trelawny Parish - Clarks Town Westmoreland Parish - Russia community in Savanna-la-Mar (The Southeastern quadrant of Savannah la Mar east of Darling Street and south of the A2 highway/Barracks Road), Morgan Bay, Kings Valley, The Whitehall, Bethel Town, and Red Ground neighborhoods of Negril If you do decide to travel to the above-listed Do Not Travel areas, please visit our website for Travel to High-Risk Areas ."
2,"Reissued after periodic review with minor edits. Exercise increased caution in Algeria due to terrorism and kidnapping . Do not travel to: Areas near the eastern and southern borders due to terrorism and kidnapping . Areas in the Sahara Desert due to terrorism and kidnapping . Country Summary: Terrorists continue plotting possible attacks in Algeria. Terrorists may attack with little or no warning and have recently targeted the Algerian security forces. Most attacks take place in rural areas, but attacks are possible in urban areas despite a heavy and active police presence. The U.S. government has limited ability to provide emergency services to U.S. citizens outside Algiers province due to Algerian government restrictions on travel by U.S. government employees. Read the country information page for additional information on travel to Algeria. Inform local police when visiting locations outside of major cities. Travel by air if possible; remain on major highways if you must travel by road. Travel with reputable travel agents who know the area. Avoid staying overnight outside of the main cities and tourist locations. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Algeria. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Eastern and southern borders — Level 4: Do Not Travel Avoid travel to rural areas within 50 km (31 miles) of the border with Tunisia and within 250 km (155 miles) of the borders with Libya, Niger, Mali, and Mauritania due to terrorist and criminal activities, including kidnapping. Visit our website for High-Risk Travelers . Overland travel to the Sahara Desert — Level 4: Do Not Travel Do not travel overland in the Sahara Desert due to terrorist and criminal activity, including kidnapping. Visit our website for High-Risk Travelers ."
1,"Reissued with obsolete COVID-19 page links removed. Exercise normal precautions in Paraguay. Some areas have increased crime risk. Read the entire Travel Advisory. Exercise increased caution in: Amambay, Alto Paraná, Canindeyu, San Pedro, and Concepcion departments due to crime . Read the country information page for additional information on travel to Paraguay. Review the Country Security Report for Paraguay. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel. Departments of Amambay, Alto Paraná, Canindeyu, San Pedro, and Concepcion – Level 2: Exercise Increased Caution Transnational criminal elements are active and engage in illicit trafficking of arms, narcotics, and goods in these departments, which are located along Paraguay’s northeastern border with Brazil. Police presence is limited. U.S. government personnel must provide advance notice when traveling to these areas."
1,Reissued with obsolete COVID-19 page links removed. Exercise normal precautions when traveling to Andorra. Country Summary : Entry to Andorra can only be done via Spain and France. Read the country information page for more information on travel to Andorra. Visit the CDC page for the latest Travel Health Information related to your travel. Review the Traveler’s Checklist .
2,Reissued after periodic review with changes to overall Travel Advisory level from level 1 to level 2 due to an increase in crime. Exercise increased caution in Lesotho due to crime . Country Summary: Crime is common in Lesotho and sporadic armed robberies and carjackings occur. Local police may lack the resources to respond in a timely manner to criminal incidents. Read the country information page for additional information on travel to Lesotho. Follow the Department of State on Facebook and X/Twitter . Follow the U.S. Embassy in Lesotho on Facebook and X/Twitter . Review the Country Security Report for Lesotho. Prepare a contingency plan for emergency situations. Be aware of your surroundings. Use caution when walking or driving at night. Review your personal security plans. Visit the CDC page for the latest Travel Health Information related to your travel.
1,"Reissued after periodic review with minor edits. Exercise normal precautions in Dominica. Read the country information page for additional information on travel to Dominica. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for the Eastern Caribbean, which includes Dominica. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel."
1,"Reissued after periodic review with minor edits. Exercise normal precautions in the French West Indies, which includes the islands of Guadeloupe, Martinique, French Saint Martin, and Saint Barthélemy. Read the country information page for additional information on travel to the French West Indies. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for the French Caribbean. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel."
2,"Reissued after periodic reviews with minor edits. Exercise increased caution when traveling to Türkiye due to terrorism and arbitrary detentions. Some areas have increased risk. Read the entire Travel Advisory. Do Not Travel To: Sirnak province, Hakkari province, and any area within six miles (10 kilometers) of the Syrian border due to terrorism. Country Summary: Terrorist groups continue plotting possible attacks in Türkiye. Terrorists may attack with little or no warning, targeting tourist locations. Be cautious in transportation hubs, markets, malls, and government buildings, as well as hotels, clubs, restaurants, places of worship, and parks. Be careful in airports and at major events. Security forces have detained tens of thousands of people, including U.S. citizens, for alleged ties to terrorist groups based on scant or secret evidence and grounds that appear to be politically motivated. U.S. citizens have also been subject to exit bans that prevent them from departing Türkiye. Protests not approved by the Turkish government can lead to arrest, as can criticizing the government, including on social media. Read the country information page for additional information on travel to Türkiye. Stay alert in locations frequented by tourists. Avoid demonstrations and crowds. Stay at hotels with identifiable security measures. Monitor local media and be prepared to adjust your plans quickly. Follow the Department of State on Facebook and X/Twitter . Review the Country Security Report for Türkiye. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Sirnak Province, Hakkari Province, and Any Area within six miles (ten kilometers) of the Syrian Border – Level 4: Do Not Travel Do not travel to Sirnak province, Hakkari province, or any area within six miles (10 kilometers) of the Turkey/Syria border due to the continued threat of attacks by terrorist groups, armed conflict, and civil unrest. Terrorist attacks, including suicide bombings, ambushes, car bombs, and explosive devices, as well as shootings and illegal roadblocks leading to violence have occurred in these areas. U.S. government employees are subject to travel restrictions in the entire provinces of Sirnak and Hakkari, and any areas within 10 km of the Syrian border. Visit our website for Travel to High-Risk Areas ."
1,Reissued with obsolete COVID-19 page links removed. Exercise normal precautions in the Czech Republic. Read the country information page for additional information on travel to the Czech Republic. Review the Country Security Report for the Czech Republic. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist .
1,Reissued with obsolete COVID-19 page links removed. Exercise normal precautions in Portugal. Read the country information page for additional information on travel to Portugal. Review the Country Security Report for Portugal. Visit the CDC page for the latest Travel Health Information related to your travel. Prepare a contingency plan for emergency situations. Review the Traveler’s Checklist .
4,"Reissued after periodic review with updates to reflect the security environment, immigration information, and availability of medical care. Do not travel to Afghanistan due to civil unrest, crime, terrorism, risk of wrongful detention, kidnapping, and limited health facilities. Country Summary: The U.S. Embassy in Kabul suspended operations in 2021. The U.S. government is not able to provide routine or emergency consular services to U.S. citizens in Afghanistan. Multiple terrorist groups are active in Afghanistan and U.S. citizens are targets of kidnapping and hostage-taking. The Taliban have harassed and detained aid and humanitarian workers. The activities of foreigners may be viewed with suspicion, and reasons for detention may be unclear. Even if you are registered with the appropriate authorities to conduct business, the risk of detention is high. The Department has determined there is a risk of wrongful detention of U.S. nationals in Afghanistan. Additionally, Afghan-U.S. citizens and U.S. Lawful Permanent Residents (LPRs) who previously supported the United States (for example, as an interpreter) in Afghanistan may be targeted for detention. The Taliban do not regularly permit the United States to conduct welfare checks on U.S. citizens in detention, including by phone. Detention can be lengthy. While in detention, U.S. citizens have limited or no access to medical attention and may be subject to physical abuse. U.S. citizens should not travel to Afghanistan for any reason, including to accompany eligible family members for relocation. U.S. citizens or LPRs do not have to be physically present in Afghanistan for their qualifying family members to receive such assistance. For further information on how to assist your family members with the immigrant visa application process or to request relocation assistance for family, please refer to our website . U.S. citizens in Afghanistan are urged to depart immediately via commercial means if possible. U.S. citizens who are seeking U.S. government assistance to depart should email complete biographic details and contact information (email and phone number), as well as U.S. passport number, to AfghanistanACS@state.gov . Basic medical care is available in major Afghan cities such as Kabul but is limited in rural areas. Read the country information page for additional information on travel to Afghanistan. If you choose to disregard the Travel Advisory and travel to Afghanistan: Review your personal security plans. Be aware of your surroundings and local security developments at all times. Keep a low profile. Monitor local media for breaking events and be prepared to adjust your plans. Keep travel documents up to date and easily accessible. Notify a trusted person of your travel and movement plans. Make contingency plans to leave when it is safe to do so that do not rely on U.S. government assistance. Draft a will and designate appropriate insurance beneficiaries and/or power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, etc. Leave DNA samples with your medical provider in case it is necessary for your family to access them. Consider the risks involved in traveling while possessing dual U.S. - Afghan nationality . Visit our website for Travel to High-Risk Areas . Read the Country Security Report For Afghanistan. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel."
1,Reissued with obsolete COVID-19 page links removed. Exercise normal precautions in Suriname. Read the country information page for additional information on travel to Suriname. Review the Country Security Report for Suriname. Prepare a contingency plan for emergency situations. Visit the CDC page for the latest Travel Health Information related to your travel.
