Advisory_Level,Advisory_Text
1,"last update: reissued after periodic review with minor edits. exercise normal precautions in georgia. some areas have increased risk. read the entire travel advisory. do not travel to: the russian-occupied georgian regions of south ossetia and abkhazia due to risk of crime, civil unrest, and landmines . read the country information page for additional information on travel to georgia. if you decide to travel to georgia: enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. review the country security report for georgia. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. south ossetia and abkhazia level : do not travel russian troops and border guards occupy both south ossetia and abkhazia regions. the precise locations of administrative boundary lines are difficult to identify. entering these areas could lead to arrest, imprisonment, or a fine. violent attacks and criminal incidents occur in the region. landmines are a danger to travelers near the boundary lines of both territories. due to the risks, u.s. government employees working in georgia are prohibited from traveling to south ossetia and abkhazia. the u.s. government is unable to provide emergency services to u.s. citizens in south ossetia and abkhazia. do not travel to these areas for any reason. visit our website for travel to high-risk areas ."
1,exercise normal precautions in french guiana. read the country information page for additional information on travel to french guiana. if you decide to travel to french guiana: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for french guiana. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel.
2,"updated to reflect threats against women travelers and increased risks in specific regions. exercise increased caution in ghana due to crime and violence against women travelers and lesbian, gay, and bisexual travelers . some areas of ghana have increased risk. read the entire travel advisory. reconsider travel to: the upper east region, north east region, upper west region, and the western portion of the savannah region all areas west of the n highway that shares a border with burkina faso and cte divoire due to civil unrest and crime. country summary: violent crimes, such as carjacking, street mugging, assaults, and rape do occur. these crimes often happen at night and in isolated locations. sexual assault, such as rape, is significantly underreported and remains a serious problem. while domestic violence is criminal under ghanian law, police rarely respond to reports of domestic violence. in urban areas and crowded markets when traveling by private or public transportation after dark as criminal elements may use blockades to slow down and restrict movement of vehicles ghanaian law contains prohibitions on unnatural carnal knowledge generally interpreted as any kind of sexual intimacy between persons of the same sex, though in practice, the law is largely used to target men. punishments can include fines andor incarceration of up to three years. rhetoric and violence targeting individuals on the basis of sexual orientation have increased in recent years. individuals have reported safety incidents that include targeted assault, rape, mob attacks, and harassment due to their sexual orientation. read the country information page for additional information on travel to ghana. if you decide to travel to ghana: review our page for health and security risks for women travelers . see our lesbian, gay, and bisexual travelers information page and our human rights report for further details. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. review the country security report for ghana. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. areas near the northern border in the upper east region, upper west region, and western area of the savannah region level : reconsider travel u.s. citizens in ghana should reconsider travel to the northern border areas near burkina faso and cte divoire due to civil unrest and crime . due to the risks, u.s. government employees working in ghana must obtain special authorization to travel to the upper west region, the upper east region, the north east region, and the western area of the savannah region. the u.s. government has limited ability to provide emergency services to u.s. citizens in these areas. be sure to read the burkina faso travel advisory here . local police may lack the resources to respond effectively to more serious crimes. visit our website for travel to high-risk areas ."
2,"updated to reflect a new separate travel advisory from the kingdom of denmark. exercise increased caution in greenland due to environmental hazards posed by extreme weather conditions and limited emergency services. country summary: the u.s. governments ability to provide consular services to u.s. citizens in greenland is extremely limited. greenlands landscape includes vast stretches of territory remote from cities and settlements. the weather can be harsh, and resources to provide emergency services in areas distant from cities and large settlements, including search and rescue, are scarce. in some areas, search and rescue efforts could take several days to reach the site of an incident. read the country information page for additional information on travel to greenland. if you decide to travel to greenland: obtain comprehensive travel, medical, and evacuation insurance; see our webpage for more information on insurance coverage abroad . travel with a professional guide or organization, such as those that are a member of the association of arctic expedition cruise operators , or, if organizing a private expedition, be self-sufficient. enroll in the smart traveler enrollment program step to receive security messages and make it easier to locate you in an emergency. prepare a contingency plan for emergency situations. review the travelers checklist . understand greenland is a self-governing part of the kingdom of denmark. greenland has assumed responsibility for the administration of health, education, taxation, and family and social matters among other competencies, meaning these matters are handled differently than in denmark. follow the department of state on facebook and xtwitter . visit the cdc page for the latest travel health information related to your travel."
2,"reissued after periodic review with minor edits. exercise increased caution in the gambia due to crime and inadequate health infrastructure . some areas have increased risk. read the entire travel advisory. exercise increased caution due to other factors in the southern border area adjacent to senegals casamance region due to the potential presence of landmines and sporadic border skirmishes. country summary: theft and home burglaries occur frequently in the gambia, especially in the broader banjul area. the gambias health infrastructure is inadequate. health services, hygiene, and quality control do not meet u.s. standards of care. pharmacies are not well regulated. locally available medications may be unsafe. the centers for disease control and prevention cdc has issued a level two health notice for circulating poliovirus in the gambia . read the country information page for additional information about travel to the gambia. if you decide to travel to the gambia: visit the cdc page for the latest travel health information related to your travel. before any international travel, make sure you are up to date on your cdc recommended vaccinations for the region. stay on main roads. avoid less-traveled areas near southern gambia that border the casamance region in senegal. be aware of your surroundings. bring your own over the counter and prescription medications. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for the gambia. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel. the gambias southern border with senegal level : exercise increased caution some landmines from the casamance conflict remain in this area. there have been occasional border skirmishes in this region. if travelling near or across the border stay on main roads and do not travel at night."
2,"updated to reflect change in travel advisory from a level to a level and removing the e time-limited event indicator related to the catastrophic fuel depot explosion and its after-effects. exercise increased caution in guinea due to crime , civil unrest , and inadequate health infrastructure . country summary: there is considerable risk of crimes of opportunity in guinea, especially in conakry, such as pickpocketing, purse snatching, theft of valuables from vehicles, assaults, and residential burglaries. travelers should be especially alert in crowded areas where people congregate, such as markets. demonstrations and protests occur unpredictably in guinea and occasionally result in violence. if traveling outside the conakry peninsula, make all efforts to complete your travel before nightfall. there are increased safety hazards and security concerns at night. u.s. government employees under chief of mission authority are restricted from traveling between cities after dark and are unable to provide emergency services at night. guineas health infrastructure is inadequate. health services, hygiene, and quality control do not meet u.s. standards of care. local drinking water is unsafe, pharmacies are not well regulated, locally available medications may be unsafe, and necessary healthcare may not be available. read the country information page for additional information about travel to guinea. if you decide to travel to guinea: use caution when walking or driving at night. do not physically resist any robbery attempt. do not display signs of wealth, such as expensive watches or jewelry. avoid demonstrations and crowds. obtain comprehensive medical insurance that includes medical evacuation. visit the cdc page for the latest travel health information related to your travel. always carry a copy of your u.s. passport and visa if applicable. keep original documents in a secure location. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook , instagram , and x . review the country security report for guinea. prepare a contingency plan for emergency situations. review the travelers checklist ."
2,"there was no change to the advisory level. the other risk indicator was added. advisory summary was updated. exercise increased caution in equatorial guinea due to risk of crime , health , and arbitrary enforcement of laws . review our information on travel to high-risk areas . advisory summary: crime petty crime is common throughout the country. local police may lack the resources to respond effectively to reports of crime, even serious crime. health medical services in equatorial guinea are limited. there are no adequate trauma or ambulance services. even minor health issues may require medical evacuation at the travelers expense. be sure to bring enough prescription medications to last the entire duration of your trip. make sure you have medical or travel insurance that includes medical evacuation. review our information on travel insurance . other travelers face the risk of arbitrary enforcement of local laws that may result in harassment and detention. if you decide to travel to equatorial guinea : review our information on crime abroad and for victims of crime . borders may close without notice. travelers should remain flexible and prepared for sudden changes. always travel with your passport and valid visa to avoid complications at checkpoints or border crossings. keep a copy of your passport and visa in a safe location in your hotel or residence. do not physically resist any robbery attempt. use caution when walking or driving at night. keep a low profile. stay aware of your surroundings. do not display signs of wealth, like expensive watches or jewelry. do not answer your door at your hotel or residence unless you know who it is. stay alert in tourist spots. stay alert when visiting banks or atms. give your itinerary to a family member or friend. medical services for routine and emergency procedures are limited. read the health section of the travel guidance on this page for more information. make sure you have medical or travel insurance that includes medical evacuation. review our information on travel insurance . check with your doctor about required vaccines and shots for high-risk exposure before you go to equatorial guinea. review the health section in the travel guidance for equatorial guinea. bring enough supply of over the counter and prescription medicines to cover the duration of the trip. some travelers have been arbitrarily detained for several weeks or more. the embassy cannot guarantee your release. enroll in the smart traveler enrollment program step to get important updates and alerts from the u.s. embassy or consulate. enrolling helps the u.s. embassy or consulate contact you or your emergency contact in an emergency. review the country security report for equatorial guinea . visit the centers for disease control and prevention cdc website for the latest travel health information for equatorial guinea. whether youre a first time or frequent traveler, use the international travel checklist ."
1,reissued after periodic review without changes. exercise normal precautions in greece. read the country information page for additional information on travel to greece. if you decide to travel to greece: enroll in the smart traveler enrollment program step to receive security messages and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for greece. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist .
3,"reissued after periodic review with minor edits. reconsider travel to guatemala due to crime . some areas have higher risks. please read the full travel advisory. do not travel to: san marcos department except the city of san marcos due to crime . huehuetenango department except the city of huehuetenango due to crime . zone in guatemala city and the city of villa nueva due to crime . country summary: some areas of guatemala have problems with gangs, robbery, carjacking, drug trafficking and violence. local law enforcement may not always respond well to serious crimes, leading to low arrest and conviction rates. while tourists are not usually targeted, they can still be victims of opportunistic crimes. guatemala has a program called the tourist assistance program asistur that helps protect tourists. asistur works with tourist police disetur in popular areas like antigua, lake atitln, tikal, quetzaltenango, puerto barrios, and coban. they also have an emergency call center that speaks both spanish and english. tourist groups can request a security escort if they have safety concerns. you can call them anytime by dialing from a guatemalan phone number or -, and you can also reach them on whatsapp at --. u.s. government employees and their families cannot travel to the san marcos department, huehuetenango department, zone in guatemala city, or villa nueva. they can travel to other parts of guatemala and visit popular places like tikal, antigua, lake atitln, and the pacific coast areas in the santa rosa and escuintla. however, they should avoid driving outside guatemala city at night because of poor lighting and safety risks. they may not use white car taxis or public transportation, like chicken buses due to the high chance of crime and injury. check the country information page for helpful information about traveling to guatemala. this includes information on entry and exit rules, safety, local laws, health, and getting around. also, visit the u.s. embassy in guatemala city s website for local resources, like legal help, medical services, drivers licenses, and information on residence and work permits, as well as rules about bringing weapons into guatemala. if you decide to travel to guatemala: do not travel outside guatemala city at night because the roads are poorly lit, and there is a high risk for serious traffic accidents. when visiting lake atitln, use certified tour guides and travel between villages by chartered boat. the paths around the lake can be dangerous and hard to access. emergency services cannot arrive quickly to help. avoid swimming in the pacific ocean because the currents and undertow are very strong, and there are not many lifeguards. never leave drinks unattended in bars and restaurants and say no to invitations from strangers to private parties. consider staying in hotels that have secure parking, doormen, and professional security staff. use trusted taxi services like taxis amarillo express, taxi seguro, or uber, and only use inguat-approved taxis from the safe stand at the airport, hotel taxis, or vetted private drivers. avoid public transport and white car taxis, as well as chicken buses. do not hike trails or volcanoes without a qualified local guide, as robberies can happen and getting help can be difficult. avoid using public atms, and do not show signs of wealth like wearing expensive watches or jewelry. also, try not to use your phone in public. check the overseas security advisory councils osac country security report for guatemala. review the travelers checklist and make a plan for emergencies. visit the cdc page for the latest travel health notice and yellow book on guatemala. sign up for the smart traveler enrollment program step to receive alerts while in guatemala and help others find you in case of an emergency. follow the u.s. embassy in guatemala on facebook and xtwitter for updates. san marcos department level : do not travel u.s. government personnel and their families may not go to the san marcos department for personal travel, except for the city of san marcos itself. there is a lot of drug trafficking in this area, and many parts are controlled by drug gangs. some towns do not have enough police, and local officers may not have the resources to handle serious crimes. visit our website for travel to high-risk areas . huehuetenango department level : do not travel u.s. government personnel and their families may not go to huehuetenango department for personal travel, except for the city of huehuetenango itself. there is a lot of drug trafficking in this area, and many parts are controlled by drug gangs. some towns do not have enough police, and local officers may not have the resources to handle serious crimes. visit our website for travel to high-risk areas . zone in guatemala city and the city of villa nueva level : do not travel u.s. government personnel and their families are not allowed to travel to or through zone in guatemala city and the city of villa nueva due to increased risk of crime and significant gang activity. aside from zone and villa nueva, u.s. government personnel and their family members are permitted to travel throughout guatemala city, even at night. visit our website for travel to high-risk areas ."
3,"updated to reflect addition of health risk indicator and update to if you decide to travel section. reconsider travel to guinea-bissau due to civil unrest, crime, and health . country summary: the country has had periods of political instability for decades. past demonstrations have escalated into violence. access to health care is limited. crime is common in guinea-bissau: aggressive vendors, panhandlers, and criminals target foreigners at the bissau airport. criminals also target crowded areas, especially bandim market in the capitals center. local police do not have the resources to respond quickly to serious crimes. the u.s. government has limited ability to provide emergency services to u.s. citizens. there is no u.s. embassy in guinea-bissau. health care in guinea-bissau is limited. facilities may not have adequate supplies of basic medications, especially outside of larger cities. it is highly recommended to have medical evacuation insurance for travel to guinea-bissau. travelers should carry a supply of any needed prescription medicines, along with copies of their prescriptions and include the generic names of medicines, as well as a supply of over-the-counter medications such as anti-diarrheals and pain medication. read the country information page for more information on travel to guinea-bissau. if you decide to travel to guinea-bissau: visit our website for travel to high-risk areas . stay aware of your surroundings. do not display signs of wealth, such as expensive watches or jewelry. do not physically resist any robbery attempt. review the country security report for guinea-bissau use caution when walking or driving at night. be sure to always wear your seatbelt. only drink bottled water. avoid risky behavior, including swimming in fresh bodies of water such as lakes, rivers, and ponds, which can be contaminated with bacteria andor parasites. avoid demonstrations and crowds. visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. keep travel documents up to date and easily accessible. enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. prepare a backup plan for emergency situations. review the travelers checklist ."
3,"reissued after periodic review with minor changes. reconsider travel to guyana due to crime . country summary: violent crime, including murder and armed robbery, is common, especially at night. local police often lack the resources to respond effectively to serious criminal incidents. read the country information page for additional information on travel to guyana. if you decide to travel to guyana: be extra vigilant when visiting banks or atms. be aware of your surroundings. avoid walking or driving at night. do not physically resist any robbery attempt. do not display signs of wealth, such as wearing expensive watches or jewelry. enroll in the smart traveler enrollment program step to receive security messages and make it easier to locate you in an emergency. review the country security report for guyana. visit our website for travel to high-risk areas . prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
3,"reconsider travel to honduras due to crime . read the entire travel advisory. do not travel to: gracias a dios department, most eastern department, due to crime . country summary : violent crime, such as homicide, armed robbery, and kidnapping, remains common. violent gang activity, such as extortion, violent street crime, rape, narcotics, and human trafficking, is widespread. local authorities may lack sufficient resources to respond effectively to serious crime incidents. around resort areas in the bay islands, which include roatan, utila, and guanaja, there is a concentration of resources, and these areas are better policed. demonstrations occur regularly throughout the country and can be about a variety of political or economic issues. protests, demonstrations, tire burnings, and roadblocks are frequent, unpredictable, and can turn violent. they can shutdown roads and highways, often without prior notice or estimated reopening timelines. in december , the government of honduras declared a state of exception in response to high levels of extortion and other crimes. the declaration remains in effect and has been modified to include more cities. it allows the police to suspend constitutional rights in of the countrys municipalities. the honduran ministry of health declared in june a national emergency in honduras due to an increase in dengue cases. the ministry of health has carried out dengue prevention, control, and surveillance activities, along with the promotion of preventive measures through the media and educational campaigns. it also carried out clean-up operations and campaigns, including the use of chemical and biological agents for vector control. please review the u.s. centers for disease control and prevention cdc website and cdc global dengue for further information. read the country information page for additional information on travel to honduras. if you decide to travel to honduras: avoid demonstrations. be aware of your surroundings. avoid walking or driving at night. do not physically resist any robbery attempt. be extra vigilant when visiting banks or atms. do not display signs of wealth, such as wearing expensive watches or jewelry. do not take public transportation, including white car taxis. u.s. government personnel and their family members are prohibited from using these forms of transportation. monitor local media for breaking events and be prepared to adjust your plans. visit our website for travel to high-risk areas . enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for honduras. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel. gracias a dios department level : do not travel u.s. government personnel and family members are restricted from traveling to gracias a dios, the most eastern department. the department is an isolated region with high levels of criminal activity. narcotics trafficking is widespread, and large portions of the department are particularly vulnerable to drug trafficking organizations. infrastructure is weak, government services are limited, and police and military presence is scarce. visit our website for travel to high-risk areas"
1,"there were no changes to the advisory level. an area of increased risk was added. advisory summary was updated. advisory summary exercise normal precautions in croatia. some areas have increased risk. read the entire travel advisory. level : exercise increased caution karlovac and lika-senj counties exercise increased caution in karlovac and lika-senj counties due to landmines. according to the croatian government, about . square kilometers in croatia could have landmines. these areas are in mostly dense forests and rough terrain. warning signs mark areas at risk with the international landmine symbol. this symbol features a skull and crossbones in a red, upside-down triangle. the government of croatia expects the country to be completely demined by the end of . if you decide to travel to croatia: enroll in the smart traveler enrollment program step to get important updates and alerts from the u.s. embassy. enrolling helps the u.s. embassy contact you or your emergency contact in an emergency. review the country security report for croatia. visit the centers for disease control and prevention cdc website for the latest travel health information for croatia. whether youre a first time or frequent traveler, use the international travel checklist . we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
4,"reissued after addition of terrorism indicator. do not travel to haiti due to kidnapping , crime , terrorist activity, civil unrest , and limited health care . read the entire travel advisory. country summary: in july , the department of state ordered nonemergency u.s. government employees and their family members to leave the country due to security risks. haiti has been under a state of emergency since march . crimes involving firearms are common in haiti. they include robbery, carjackings, sexual assault, and kidnappings for ransom. do not travel to haiti for any reason. kidnapping kidnapping is widespread. u.s. citizens have been victims and have been hurt or killed. kidnappers may: plan with precision or target victims during unexpected times. target and attack convoys. demand ransoms. u.s. victims families have paid tens to hundreds of thousands of dollars to rescue their family members. demonstrations protests, demonstrations, and roadblocks are common and unpredictable. they often damage or destroy infrastructure and can become violent. mob killings and public assaults are on the rise. people are targeting those they think have committed crimes. toussaint louverture i nternational airport exchanges of gunfire with criminal gangs, organized crime, and terrorists have occurred in the neighborhood just outside the port-au-prince international airport pap. travelers are sometimes followed and violently attacked and robbed shortly after leaving the airport, or while entering or leaving hotels in port-au-prince. u.s. commercial flights do not currently operate to and from port-au-prince. the federal aviation administration faa issued a notice to airmen notam prohibiting u.s. air carrier flights to port-au-prince due to the ongoing instability. please check faa's website for more information. crime and terrorism there is widespread violent crime and organized crime in the country, and local law enforcement has limited ability to respond to serious crimes. violent crime is rampant in haiti, especially in port-au-prince, where the expansion of gang, organized crime, and terrorist activity has led to widespread violence, kidnappings, and sexual assault. the escalation of clashes between armed groups has led to a rise in sporadic gunfire incidents. there is a substantial risk of being struck by stray bullets, even for individuals not directly involved in the violence. there is risk of terrorist violence, including attacks and other violent gang activity in haiti. there are gangs that are designated as terrorist organizations present in haiti. transportation and travel do not cross the border by land between haiti and the dominican republic. there is a risk of kidnapping and violence. these dangers are present on roads from major haitian cities to the border. the u.s. embassy cannot help you enter the dominican republic by air, land, or sea. u.s. citizens who cross into the dominican republic at an unofficial crossing may face high immigration fines when they try to leave. the u.s. coast guard has concerns about security in the ports of haiti. until those are addressed, the coast guard advises mariners and passengers traveling through the ports of haiti to exercise caution. limited emergency response the u.s. government is very limited in its ability to help u.s. citizens in haiti. local police and first responders often do not have enough resources. this limits their ability to respond to emergencies or serious crimes. shortages of gasoline, electricity, medicine, and medical supplies are common throughout the country. public and private clinics, as well as hospitals, have untrained staff and lack basic resources. medical providers almost always require upfront payment in cash. u.s. government employees must follow a nightly curfew. families of embassy personnel are not allowed to accompany them on their assignment. embassy personnel cannot travel by foot in port-au-prince. u.s. government employees working in haiti must obtain special permission to travel outside the embassy compound due to security risks. they are also prohibited from: using any kind of public transportation or taxis. visiting banks and using atms. driving at night. traveling anywhere after dark. read the country information page for additional information on travel to haiti. if you decide to travel to haiti: avoid demonstrations and crowds. check local media for breaking events. be prepared to adjust your plans. arrange airport transfers and hotels in advance, or have your host meet you upon arrival. keep travel documents up to date and easily accessible. have evacuation plans that do not rely on u.s. government assistance. bring enough supply of over the counter and prescription medicines. if you are being followed as you leave the airport, drive to the nearest police station immediately. develop a communication plan with family or your employer or host organization if you are traveling on business. this is so they can monitor your safety and location as you travel through high-risk areas. specify how you will confirm you are safe text, calls, etc., how often, and who you will contact first to share the information. choose one family member to serve as the point of contact. they will communicate with kidnappers or hostage-takers, media, u.s. and host country government agencies, and members of congress if you are kidnapped or taken hostage. establish a proof of life protocol with your loved ones. this is so that if you are taken hostage, your loved ones can know specific questions and answers to ask the hostage-takers to be sure that you are alive and to rule out a hoax. draft a will and designate appropriate insurance beneficiaries andor power of attorney, put your financial affairs in order. discuss a plan with loved ones regarding carecustody of children, pets, property, belongings, non-liquid assets collections, artwork, etc., funeral wishes, etc. leave dna samples with your medical provider in case it is necessary for your family to access them. travel by vehicle to reduce walking in public. travel in groups or at least do not travel alone. always keep vehicle doors locked, and windows closed when driving. roadblocks may be operated by gangs, members of organized crime, or terrorists seeking money and may turn violent. be cautious and alert. this is especially important when driving through markets and other crowded areas. do not physically resist any robbery attempt. visit our website for travel to high-risk areas . enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. review the country security report on haiti. prepare a plan for emergency situations. review the travelers checklist . visit the cdc s page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. follow the department of state on facebook and x . review the country security report on haiti. visit our website for travel to high-risk areas ."
1,reissued after periodic review without changes. exercise normal precautions in hungary. read the country information page for additional information on travel to hungary. if you decide to travel to hungary: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for hungary. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist .
2,"reissued after periodic review with minor edits. exercise increased caution in indonesia due to terrorism and natural disasters. some areas have increased risk. read the entire travel advisory. do not travel to: the provinces of central papua papua tengah and highland papua papua pegunungan due to civil unrest. country summary: terrorists continue plotting possible attacks in indonesia. terrorists may attack with little or no warning, targeting police stations, places of worship, hotels, bars, nightclubs, marketsshopping malls, and restaurants . visit the u.s. department of states country reports on terrorism to learn more. natural disasters such as earthquakes, tsunamis, or volcanic eruptions may result in disruptions to transportation, infrastructure, sanitation, and the availability of health services. demonstrations occur frequently and have the potential to become violent. avoid demonstrations and crowds. read the country information page for additional information on travel to indonesia. if you decide to travel to indonesia: monitor local media for breaking events and be prepared to adjust your plans. visit the websites for badan geologi indonesian geological agency, indonesian language only for the latest information from the government of indonesia on current natural disasters. review the cdcs suggestions on how to prepare for natural disasters. be aware of your personal safety and security at all times. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. ensure your passport is valid for at least six months beyond your arrival date. review the country security report for indonesia. prepare a contingency plan for emergency situations. review the travelers checklist . central papua and highland papua level : do not travel in central papua and highland papua, violent demonstrations and conflict could result in injury or death to u.s. citizens. avoid demonstrations and crowds. armed separatists may kidnap foreign nationals. due to the risks, the u.s. government has limited ability to provide emergency services to u.s. citizens in central papua and highland papua because u.s. government employees working in indonesia must obtain special authorization before traveling to those areas. visit our website for travel to high-risk areas ."
1,reissued after periodic review without changes. exercise normal precautions in ireland. read the country information page for additional information on travel to ireland. if you decide to travel to ireland: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for ireland. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist .
2,"exercise increased caution in india due to crime and terrorism . some areas have increased risk. violent crime and terrorism occur in india. rape is one of the fastest growing crimes in india. violent crimes, including sexual assault, happen at tourist sites and other locations. terrorists may attack with little or no warning. they target: tourist locations transportation hubs markets and shopping malls government facilities the u.s. government has limited ability to provide emergency services to u.s. citizens in rural areas. these areas stretch from eastern maharashtra and northern telangana through western west bengal. due to the risks, u.s. government employees working in india must obtain special authorization to travel to these areas."
4,"updated to reflect the lifting of ordered departure of non-emergency u.s. government personnel. do not travel to iraq due to terrorism, kidnapping, armed conflict, civil unrest, and the u.s. governments limited ability to provide emergency services to u.s. citizens in iraq. do not travel to iraq for any reason. country summary: u.s. citizens in iraq face high risks, including violence and kidnapping. terrorist and insurgent groups regularly attack iraqi security forces and civilians. anti-u.s. militias threaten u.s. citizens and international companies. attacks using improvised explosive devices, indirect fire, and unmanned aerial vehicles occur in many areas, including major cities. the department of state requires u.s. government personnel in iraq to live and work under strict security due to serious threats. there is risk of terrorist violence, including terrorist attacks and other activity in iraq. visit the u.s. department of states country reports on terrorism to learn more. demonstrations, protests, and strikes occur frequently throughout the country. these events can develop quickly without prior notice, often interrupting traffic, transportation, and other services, and sometimes turn violent. do not travel near armed groups or iraqs northern borders due to: continued threat of attacks by terrorist groups armed conflict aerial bombardment civil unrest u.s. citizens should not travel through iraq to engage in armed conflict in syria, where they would face extreme personal risks kidnapping, injury, or death and legal risks arrest, fines, and expulsion. the kurdistan regional government in iraq has stated it will impose prison sentences of up to ten years on individuals who illegally cross the iraq-syria border. fighting on behalf of or providing other forms of support to designated terrorist organizations can constitute the provision of material support to a foreign terrorist organization, which is a crime under u.s. law that can result in penalties including prison time and large fines. read the syria travel advisory for more information. because of security concerns, u.s. government personnel in baghdad are prohibited from using baghdad international airport. the federal aviation administration faa has issued a notice to airmen notam and a special federal aviation regulation sfar due to risks to civil aviation operating within or in the vicinity of iraq. for more information, u.s. citizens should consult the federal aviation administrations prohibitions, restrictions, and notices. read the country information page for additional information on travel to iraq. if you decide to travel to iraq: establish a personal security plan in coordination with your employer or host organization or consider consulting with a professional security organization. draft a will and designate appropriate insurance beneficiaries andor power of attorney. leave dna samples with your medical provider in case it is necessary for your family to access them for identification purposes. have departure plans that do not rely on u.s. government assistance. discuss a plan with loved ones regarding carecustody of children, pets, property, belongings, non-liquid assets collections, artwork, etc., funeral wishes, etc. share important documents, login information, and points of contact with loved ones so that they can manage your affairs if you are unable to return to the united states as planned. visit our website for travel to high-risk areas . enroll in the smart traveler enrollment program step to receive alerts from the u.s. embassy and make it easier to contact you in an emergency. review the country security report for iraq. visit the cdc website for the latest travel health information related to your travel and return to the united states. prepare a contingency plan for emergency situations. review the travelers checklist . we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage"
